HA_48 	0.88 	7.333 	0.15 	0.067 	0.691 	52.566 	
HA_1395 	0.77 	3.348 	0.156 	0.087 	0.306 	48.732 	
NA_582 	0.99 	99 	0.145 	0.065 	0.836 	53.131 	
NA_823 	0.61 	1.564 	0.149 	0.123 	0.175 	55.044 	
M_147 	0.5 	1 	0.078 	0.087 	0.096 	79.943 	
NS_820 	0.57 	1.326 	0.067 	0.046 	0.055 	91.174 	
HA_48 	0.88 	7.333 	0.15 	0.067 	0.691 	52.566 	
HA_1395 	0.77 	3.348 	0.156 	0.087 	0.306 	48.732 	
NA_582 	0.99 	99 	0.145 	0.065 	0.836 	53.131 	
NA_823 	0.61 	1.564 	0.149 	0.123 	0.175 	55.044 	
M_147 	0.5 	1 	0.078 	0.087 	0.096 	79.943 	
NS_820 	0.57 	1.326 	0.067 	0.046 	0.055 	91.174 	
HA_48 	0.88 	7.333 	0.15 	0.067 	0.691 	52.566 	
HA_1395 	0.77 	3.348 	0.156 	0.087 	0.306 	48.732 	
NA_582 	0.99 	99 	0.145 	0.065 	0.836 	53.131 	
NA_823 	0.61 	1.564 	0.149 	0.123 	0.175 	55.044 	
M_147 	0.5 	1 	0.078 	0.087 	0.096 	79.943 	
NS_820 	0.57 	1.326 	0.067 	0.046 	0.055 	91.174 	
HA_48 	0.88 	7.333 	0.15 	0.067 	0.691 	52.566 	
HA_1395 	0.77 	3.348 	0.156 	0.087 	0.306 	48.732 	
NA_582 	0.99 	99 	0.145 	0.065 	0.836 	53.131 	
NA_823 	0.61 	1.564 	0.149 	0.123 	0.175 	55.044 	
M_147 	0.5 	1 	0.078 	0.087 	0.096 	79.943 	
NS_820 	0.57 	1.326 	0.067 	0.046 	0.055 	91.174 	
HA_48 	0.88 	7.333 	0.15 	0.067 	0.691 	52.566 	
HA_1395 	0.77 	3.348 	0.156 	0.087 	0.306 	48.732 	
NA_582 	0.99 	99 	0.145 	0.065 	0.836 	53.131 	
NA_823 	0.6 	1.5 	0.148 	0.122 	0.172 	55.107 	
M_147 	0.5 	1 	0.078 	0.087 	0.096 	79.943 	
NS_820 	0.57 	1.326 	0.067 	0.046 	0.055 	91.174 	
PB1_33 	0.68 	2.125 	0.107 	0.074 	0.147 	64.056 	
HA_48 	0.88 	7.333 	0.15 	0.067 	0.691 	52.566 	
HA_1395 	0.77 	3.348 	0.156 	0.087 	0.306 	48.732 	
NA_582 	0.99 	99 	0.145 	0.065 	0.836 	53.131 	
NA_823 	0.6 	1.5 	0.148 	0.122 	0.172 	55.107 	
M_147 	0.5 	1 	0.078 	0.087 	0.096 	79.943 	
NS_820 	0.57 	1.326 	0.067 	0.046 	0.055 	91.174 	
PB1_33 	0.68 	2.125 	0.107 	0.074 	0.147 	64.056 	
